,Artist,Title,Top100,URI
212,jennifer lopez,let's get loud,0,42nSaPdT6g3ZIMHmKLlP2p
213,tito puente,oye como va,0,73uEbChpBB29ttwVnwuNVE
215,gipsy kings,bamboleo,0,4EveU9Zb50mjgi5avDNqlK
216,rubén blades,pedro navaja,0,3TfU1HNQzBR7Btx73qm29W
217,daddy yankee,gasolina,0,6jEZLz3YpnEBRpVkv35AmP
218,pérez prado,mambo no 5,0,6fJnlY8rYqC37J2u2OeEMf
219,soda stereo,de música ligera,0,2WD9ggmpZE7Wodh3qVVCgg
220,los del rio,macarena,0,4oaj36KzXRgDg4McgcTsZK
221,los lobos,la bamba,0,6uU5OBhGUE1ngSKDj4wtoq
222,juan gabriel,querida,0,7osHjFGYUmIMB6eAiU9HDs
223,santana,maria maria - radio mix,0,3XKIUb7HzIF1Vu9usunMzc
224,café tacvba,la ingrata,0,19ScoKGqnfUggyqOVQjsoH
225,alejandro sanz,corazón partio,0,0wQCKR9OFjYu5Kzrk7WivJ
226,ricky martin,livin' la vida loca,0,0Ph6L4l8dYUuXFmb71Ajnd
227,joe arroyo,rebelión,0,00Ro1lnV3V6i87aY4t8Q43
228,silvio rodríguez,la maza,0,2a1x7Ln27cNtsgtL26mdwi
229,rocío dúrcal,amor eterno,0,3K3wpXrbZYkXMxiA9QJwV1
230,consuelo velázquez,besame mucho,0,7FiuCY3Rs1klS6U7GEEo4I
231,sergio mendes & brasil '66,mais que nada,0,6YTBfxkdGce9pLEy9jG9Jo
232,héctor lavoe,el cantante,0,5Uve0jm1RgxKWzdSvncBDO
233,buena vista social club,chan chan,0,5sbw5zIz9ck2pOEDXUR0QU
234,roberto carlos,amigo,0,4CKIoO64EM5M37TkshbaQE
235,stan getz,the girl from ipanema - stereo version,0,5D9Psd43c2cidUu6RdkCu2
236,maná,oye mi amor,0,5EJ2THuhAapEIeQOtXUQ0x
237,calle 13,latinoamérica,0,1xuYajTJZh8zZrPRmUaagf
238,julio iglesias,"soy un truhán, soy un señor",0,07nrFSbS6ht0jMNpTpMfsg
239,joan manuel serrat,mediterraneo,0,7Bewui7KtaMzROeteRitRz
240,violeta parra,gracias a la vida,0,5U7MyRNbuZrWkyAI4bm3Ja
241,gerardo matos rodriguez,la cumparsita,0,6tJ0zwyKkJ9pWXN0XWqLqY
242,lola beltrán,paloma negra,0,7cOZAzuSGF7y4pNX35B7yq
243,josé alfredo jimenez,el rey,0,4ihZFukyNotzCUtxI4qpu8
244,josé feliciano,feliz navidad,0,0oPdaY4dXtc3ZsaG17V972
245,jimi hendrix,all along the watchtower,0,2aoo2jlRnM3A0NyLQqMN2f
246,the who,my generation - stereo version,0,4u9f8hqstB7iITDJNzKhQx
247,the rolling stones,(i can't get no) satisfaction,0,2PzU4IB8Dr6mxV3lHuaG34
248,the doors,"hello, i love you",0,3bWGaqVeYKMlLss40mPgNn
249,led zeppelin,whole lotta love,0,0hCB0YR03f6AmQaHbwWDe8
250,the beatles,hey jude - remastered 2015,0,0aym2LBJBk9DAYuHHutrIl
251,cream,white room,0,3Xls4cNOwy01dtrNXb1inG
252,the kinks,you really got me - mono mix,0,29SyMC0plk6qw8NMF7lfRL
254,roy orbison,"oh, pretty woman",0,48i055G1OT5KxGGftwFxWy
256,buffalo springfield,for what it's worth,0,1qRA5BS78u3gME0loMl9AA
257,creedence clearwater revival,fortunate son,0,4BP3uh0hFLFRb5cjsgLqDh
258,steppenwolf,born to be wild - single version,0,3lN8PP6R2IxbLP05QpYXng
259,the animals,house of the rising sun,0,7BY005dacJkbO6EPiOh2wb
260,the kingsmen,louie louie,0,0iA3xXSkSCiJywKyo1UKjQ
262,tommy james & the shondells,crimson and clover - single version,0,1vXuYPpkLjn1v06E2EsWQY
263,santana,evil ways,0,5tmrnhMxx39jnu3kjopMdP
264,jimi hendrix,purple haze,0,0wJoRiX5K5BxlqZTolB2LD
265,the mamas & the papas,california dreamin' - single version,0,4s6LhHAV5SEsOV0lC2tjvJ
266,bob dylan,like a rolling stone,0,3AhXZa8sUQht0UEdBJgpGc
267,"crosby, stills & nash",suite: judy blue eyes - remastered,0,2PuUFT13yCzUOZun94WOXv
268,the byrds,turn! turn! turn! (to everything there is a season),0,5qBqBdfTEIWJwAS0Jm2F5R
269,the beatles,i saw her standing there - remastered 2009,0,3KiexfmhxHvG5IgAElmTkd
270,the doors,light my fire,0,5uvosCdMlFdTXhoazkTI5R
271,the who,pinball wizard,0,6LbbHFEajG9e4m0G3L47c4
